JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459339.476,13.933,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.0,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459339.47668,13.482,0.047,,R,TYS,,ENSEMBLE,130,X26453SH,,0,1.10,Z,,12.652,,SN 2021HIZ,AAVSO,STD,,,,
2459339.47709,13.559,0.050,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.09,Z,,12.987,,SN 2021HIZ,AAVSO,STD,,,,
2459339.47709,13.584,0.065,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.10,Z,,12.935,,SN 2021HIZ,AAVSO,STD,,,,
2459339.50347,14.15,,,CV,WKL,,,,X26454ER,Remote Coast (14 inch SCT) Tenerife,0,,Z,14.5,,,SN 2021hiz,BAV,STD,,,,
2459339.68,13.9,,,Vis.,FRIB,V,138,140,X26468ACE,,,,Z,,,,SN 2021hiz,AAVSO,STD,,,,
2459340.43212,13.987,0.012,,V,MMAO,,000-BNY-353,000-BNY-349,X26450K,,0,1.219,Z,-11.917,12.972,2459340.43212,SN 2021HIZ,AAVSO,STD,,,,
2459340.51853,14.016,0.048,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.23,Z,,12.953,,SN 2021HIZ,AAVSO,STD,,,,
2459340.65245,13.928,0.058,,CV,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210506,NON-STANDARD FILTER: LUMINANCE (ASTRODON TRU-BALANCE GENERATION II E-SERIES),0,,Z,,12.946,,SN 2021HIZ,AAVSO,STD,,,,
2459340.65369,13.810,0.038,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210506,,1,,Z,,12.965,,SN 2021HIZ,AAVSO,STD,,,,
2459340.65418,14.939,0.073,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210506,,1,,Z,,13.452,,SN 2021HIZ,AAVSO,STD,,,,
2459341.42222,14.1,,,Vis.,OJR,,14.0,,Sky Chart - USNO 090,,,,Z,,,,SN 2021HIZ,,STD,,,,
2459341.4347,14.1,,,Vis.,MUY,Y,138,0,X26453EQN,ACTIVE,,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459341.486,14.136,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.0,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459341.48760,13.836,0.056,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.11,Z,,12.969,,SN 2021HIZ,AAVSO,STD,,,,
2459342.35,14.2,,,CV,WKL,,,,X26454ER,,0,,Z,14.5,,,SN 2021hiz,BAV,STD,,,,
2459342.36482,14.086,0.013,,V,MMAO,,000-BNY-353,000-BNY-349,X26450K,,0,1.194,Z,-11.890,12.990,2459342.36482,SN 2021HIZ,AAVSO,STD,,,,
2459342.42708,14.2,,,Vis.,OJR,,140,,SKY CHART.ORG  - USN,,,,Z,,,,SN 2021hiz,,STD,,,,
2459342.468,14.064,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.00,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459342.46950,14.052,0.040,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.09,Z,,12.955,,SN 2021HIZ,AAVSO,STD,,,,
2459342.46950,13.935,0.045,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.09,Z,,12.936,,SN 2021HIZ,AAVSO,STD,,,,
2459343.3257,14.0,,,Vis.,BOZ,,136,145,210421,,,,Z,,,,SN 2021HIZ,MCSE,STD,,,,
2459343.44271,14.058,0.013,,V,MMAO,,000-BNY-353,000-BNY-349,X26450K,,0,1.262,Z,-11.886,12.974,2459343.44271,SN 2021HIZ,AAVSO,STD,,,,
2459343.4465,14.1,,,Vis.,MUY,Y,138,143,X26453EQN,ACTIVE,,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459343.46971,13.734,0.052,,R,TYS,,ENSEMBLE,130,X26453SH,,0,1.10,Z,,12.586,,SN 2021HIZ,AAVSO,STD,,,,
2459343.47013,14.121,0.052,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.10,Z,,12.948,,SN 2021HIZ,AAVSO,STD,,,,
2459343.47013,13.934,0.065,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.10,Z,,12.978,,SN 2021HIZ,AAVSO,STD,,,,
2459343.47069,15.198,0.056,,B,TYS,,ENSEMBLE,130,X26453SH,,0,1.10,Z,,13.535,,SN 2021HIZ,AAVSO,STD,,,,
2459344.3278,14.1,,,Vis.,BOZ,,136,145,210421,,,,Z,,,,SN 2021HIZ,MCSE,STD,,,,
2459344.458,14.149,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.0,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459344.46020,14.296,0.065,,TG,TYS,,ENSEMBLE,130,X26453SH,,0,1.09,Z,,12.945,,SN 2021HIZ,AAVSO,STD,,,,
2459344.46020,14.032,0.088,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.09,Z,,12.936,,SN 2021HIZ,AAVSO,STD,,,,
2459344.48344,14.079,0.019,,CV,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210511,NON-STANDARD FILTER: LUMINANCE (ASTRODON TRU-BALANCE GENERATION II E-SERIES),0,,Z,,12.934,,SN 2021HIZ,AAVSO,STD,,,,
2459344.48601,14.132,0.031,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210511,,1,,Z,,12.978,,SN 2021HIZ,AAVSO,STD,,,,
2459344.48689,14.990,0.046,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210511,,1,,Z,,13.534,,SN 2021HIZ,AAVSO,STD,,,,
2459344.61238,14.119,0.032,,CV,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210511,NON-STANDARD FILTER: LUMINANCE (ASTRODON TRU-BALANCE GENERATION II E-SERIES),0,,Z,,12.912,,SN 2021HIZ,AAVSO,STD,,,,
2459344.61363,14.067,0.071,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210511,,1,,Z,,12.919,,SN 2021HIZ,AAVSO,STD,,,,
2459344.61412,15.095,0.125,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210511,,1,,Z,,13.532,,SN 2021HIZ,AAVSO,STD,,,,
2459345.3472,14.3,,,Vis.,BOZ,,143,145,210421,,,,Z,,,,SN 2021HIZ,MCSE,STD,,,,
2459345.41369,13.841,0.020,,V,GKEA,,ENSEMBLE,000-BNY-350,AAVSO X26458N,8 X 120S SUBS STACKED,0,,Z,,13.578,,SN 2021HIZ,AAVSO,STD,,,,
2459345.52014,14.35,,,CV,WKL,,,,X26454ER,Remote Coast Tenerife,0,,Z,14.5,,,SN 2021hiz,BAV,STD,,,,
2459345.608,14.544,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.00,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459345.61376,14.155,0.111,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210511,,1,,Z,,12.904,,SN 2021HIZ,AAVSO,STD,,,,
2459345.61546,15.162,0.075,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210511,,1,,Z,,13.557,,SN 2021HIZ,AAVSO,STD,,,,
2459346.44256,14.184,0.013,,V,MMAO,,000-BNY-353,000-BNY-349,X26450K,,0,1.750,Z,-11.983,12.976,2459346.44256,SN 2021HIZ,AAVSO,STD,,,,
2459346.447,14.441,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.00,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459346.44738,14.309,0.011,,CV,TYS,,ENSEMBLE,130,X26453SH,NON-STANDARD FILTER: C,0,1.08,Z,,12.981,,SN 2021HIZ,AAVSO,STD,,,,
2459346.45341,14.046,0.047,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.09,Z,,12.937,,SN 2021HIZ,AAVSO,STD,,,,
2459347.46902,14.388,0.046,,CV,TYS,,ENSEMBLE,130,X26453SH,NON-STANDARD FILTER: C,0,1.12,Z,,13.010,,SN 2021HIZ,AAVSO,STD,,,,
2459347.47160,14.080,0.089,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.12,Z,,12.957,,SN 2021HIZ,AAVSO,STD,,,,
2459348.4688,14.49,,,CV,MUY,,130,136,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459348.47138,14.327,0.036,,CV,TYS,,ENSEMBLE,136,X26453SH,NON-STANDARD FILTER: C,0,1.13,Z,,13.611,,SN 2021HIZ,AAVSO,STD,,,,
2459348.47289,14.259,0.053,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.12,Z,,12.955,,SN 2021HIZ,AAVSO,STD,,,,
2459348.475,14.285,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.00,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459349.35139,14.6,,,CV,WKL,,,,X26454ER,,0,,Z,14.5,,,SN 2021hiz,BAV,STD,,,,
2459349.39294,14.533,0.0073,,CV,SUQ,,ENSEMBLE,000-BNY-353,,ENSEMBLE OF GAIA EDR3 STARS V17. 2/SNR USED FOR MERR.,0,1.409,Z,,14.356,,SN 2021HIZ,AAVSO,STD,,,,
2459349.44380,14.466,0.020,,CV,TYS,,ENSEMBLE,130,X26453SH,NON-STANDARD FILTER: C,0,1.09,Z,,12.957,,SN 2021HIZ,AAVSO,STD,,,,
2459349.444,14.311,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.00,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459349.44831,14.374,0.059,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.09,Z,,12.972,,SN 2021HIZ,AAVSO,STD,,,,
2459349.5556,14.61,,,CV,MUY,,130,138,X26444IL,ACTIVE,0,,Z,,,,SN 2021HIZ,VVS,STD,,,,
2459350.44804,14.284,0.068,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210517,,1,,Z,,12.992,,SN 2021HIZ,AAVSO,STD,,,,
2459350.44892,15.363,0.064,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210517,,1,,Z,,13.479,,SN 2021HIZ,AAVSO,STD,,,,
2459351.440,14.433,,,CV,PYG,,130,,AAVSO X26470OX,SLOOH,0,,Z,13.0,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459351.44360,14.442,0.016,,CV,TYS,,ENSEMBLE,130,X26453SH,NON-STANDARD FILTER: C,0,1.09,Z,,12.958,,SN 2021HIZ,AAVSO,STD,,,,
2459352.437,14.457,,,CV,PYG,,130,,AAVSO X26470OX,SLOOH,0,,Z,13.0,,,SN 2021HIZ,BAA-VSS,STD,,,,
2459352.43714,14.614,0.032,,CV,TYS,,ENSEMBLE,130,X26453SH,NON-STANDARD FILTER: C,0,1.09,Z,,12.957,,SN 2021HIZ,AAVSO,STD,,,,
2459352.46236,14.516,0.068,,TG,WGUA,,ENSEMBLE,130,X26454HC,SLOOH - CANARY 2,0,1.12,Z,,12.928,,SN 2021HIZ,AAVSO,STD,,,,
2459352.64155,14.486,0.070,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210518,,1,,Z,,12.972,,SN 2021HIZ,AAVSO,STD,,,,
2459352.64301,15.315,0.070,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210520,,1,,Z,,13.484,,SN 2021HIZ,AAVSO,STD,,,,
2459353.3417,14.8,,,Vis.,BOZ,BZ,145,,210421,,,,Z,,,,SN 2021HIZ,MCSE,STD,,,,
2459353.36354,14.503,0.015,,V,MMAO,,000-BNY-353,000-BNY-349,X26450K,,0,1.186,Z,-11.998,12.985,2459353.36354,SN 2021HIZ,AAVSO,STD,,,,
2459353.453,14.458,,,CV,PYG,,130,,AAVSO X26470OX,SLOOH,0,,Z,13.0,,,SN 2021hiz,BAA-VSS,STD,,,,
2459354.34905,14.647,0.016,,V,MMAO,,000-BNY-353,000-BNY-349,X26450K,,0,1.184,Z,-11.944,12.969,2459354.34905,SN 2021HIZ,AAVSO,STD,,,,
2459354.46170,14.477,0.047,,V,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210520,,1,,Z,,12.960,,SN 2021HIZ,AAVSO,STD,,,,
2459354.46258,15.376,0.088,,B,MCJC,,ENSEMBLE,APASS 12 25 26.95 +7,210520,,1,,Z,,13.455,,SN 2021HIZ,AAVSO,STD,,,,
2459354.50030,14.727,0.026,,CV,TYS,,ENSEMBLE,130,X26453SH,NON-STANDARD FILTER: C,0,1.34,Z,,12.965,,SN 2021HIZ,AAVSO,STD,,,,
2459354.501,14.566,,,CV,PYG,,130,,AAVSO X26470OX,Y  SLOOH,0,,Z,13.00,,,SN 2021HIZ,BAA-VSS,STD,,,,
